title,author,rank,votes,previous_rank,rank_change,goodreads
Middle-Earth Universe,J.R.R. Tolkien,1,404,2,1,https://www.goodreads.com/series/66175-middle-earth
First Law World,Joe Abercrombie,2,353,3,1,https://www.goodreads.com/series/150214-first-law-world
A Song of Ice and Fire,George R.R. Martin,3,336,4,1,https://www.goodreads.com/series/43790-a-song-of-ice-and-fire
The Stormlight Archive,Brandon Sanderson,4,293,1,-3,https://www.goodreads.com/series/49075-the-stormlight-archive
Realm of the Elderlings,Robin Hobb,5,269,7,2,https://www.goodreads.com/series/54099-the-realm-of-the-elderlings
Malazan Universe,Steven Erikson and Ian C. Esslemont,6,240,9,3,https://www.goodreads.com/series/49674-malazan
Wheel of Time,Robert Jordan,7,222,6,-1,https://www.goodreads.com/series/41526-the-wheel-of-time
Discworld,Terry Pratchett,8,210,8,0,https://www.goodreads.com/series/40650-discworld
Mistborn,Brandon Sanderson,8,210,5,-3,https://www.goodreads.com/series/40910-the-mistborn-saga
The Green Bone Saga,Fonda Lee,10,163,10,0,https://www.goodreads.com/series/216281-the-green-bone-saga
Red Rising,Pierce Brown,11,160,11,0,https://www.goodreads.com/series/117100-red-rising-saga
Harry Potter,J.K. Rowling,12,145,12,0,https://www.goodreads.com/series/45175-harry-potter
Gentleman Bastard,Scott Lynch,13,130,11,-2,https://www.goodreads.com/series/43531-gentleman-bastard
Piranesi,Susanna Clarke,14,118,23,9,https://www.goodreads.com/book/show/50202953-piranesi
Dune,Frank Herbert,15,117,15,0,https://www.goodreads.com/series/45935-dune
Earthsea Cycle,Ursula K. Le Guin,16,113,20,4,https://www.goodreads.com/series/40909-earthsea-cycle
Dungeon Crawler Carl,Matt Dinniman,17,112,120,103,https://www.goodreads.com/series/309211-dungeon-crawler-carl
The Kingkiller Chronicle,Patrick Rothfuss,18,111,13,-5,https://www.goodreads.com/series/45262-the-kingkiller-chronicle
The Locked Tomb,Tamsyn Muir,19,98,21,2,https://www.goodreads.com/series/229503-the-locked-tomb
Cradle,Will Wight,20,96,17,-3,https://www.goodreads.com/series/192821-cradle
The Murderbot Diaries,Martha Wells,21,92,18,-3,https://www.goodreads.com/series/191900-the-murderbot-diaries
The Wandering Inn,Pirateaba,22,85,101,79,https://www.goodreads.com/series/265443-the-wandering-inn
The Broken Earth,N.K. Jemisin,23,84,19,-4,https://www.goodreads.com/series/112296-the-broken-earth
Sun Eater,Christopher Ruocchio,24,81,81,57,https://www.goodreads.com/series/231285-the-sun-eater
The Expanse,James S.A. Corey,25,77,25,0,https://www.goodreads.com/series/56399-the-expanse
Osten Ard Saga,Tad Williams,26,74,43,17,https://www.goodreads.com/series/214148-osten-ard-saga
